Autor,Citas,Fecha,Link,Titulo
"E Borthiry, E Calomarde… , ACTAS …, 2021 , publicacionescientificas.fadu.uba.ar",0,2021,http://www.publicacionescientificas.fadu.uba.ar/index.php/actas/article/download/1971/2131,Procesos de (auto) aprendizaje de herramientas digitales en la investigación social: nubes de palabras en Twitter
"AL Encina , Cuaderno de trabajo, 2021 , publicacionesanepe.cl",0,2021,https://www.publicacionesanepe.cl/index.php/cdt/article/download/961/637,EVOLUCIÓN Y PROYECCIONES DEL USO DE BIG DATA EN DEFENSA
"JE Miceli,, MP Castro, ,DM Diaz Cordova, , 2020 , ri.conicet.gov.ar",1,2020,https://ri.conicet.gov.ar/bitstream/handle/11336/170248/CONICET_Digital_Nro.2c353066-2a21-4e58-b3a4-5c2298b162b4_B.pdf?sequence=2&isAllowed=y,Cuando los vínculos construyen redes: breve reseña del Grupo Antropocaos
"S eje Temático, N Instancia , tec.ac.cr",0,Null,https://www.tec.ac.cr/sites/default/files/media/doc/15ponencia_iv_congreso_investigacicn_extensicn_sociocultural_y_educativa.pdf,Número de ponencia
"LR Castrillón, L LIBRES , Letras Libres, 2019 , letraslibres.com",2,2019,https://letraslibres.com/wp-content/uploads/2019/05/dosier-castrillon-esp.pdf,El menosprecio del conocimiento científico
"AC Barragán, M Sol, MF Rovelli… , Revista Disputas Facultad … , revistas.unc.edu.ar",0,Null,https://revistas.unc.edu.ar/index.php/disputas/issue/download/2636/676#page=49,"“No se preocupen, el agua está bien”"
"E García Mingo,, ,I Sádaba Rodríguez, , 2023 , repositoriorscj.dyndns.org",1,2023,http://repositoriorscj.dyndns.org:8080/xmlui/bitstream/handle/PSCJ/1473/An%C3%A1lisi%20realidad%20social%20digital.pdf?sequence=1,Análisis de la realidad social digital: Hacia una metodología de la investigación social digital
"JM Magallanes, , Politai, 2010 , revistas.pucp.edu.pe",1,2010,https://revistas.pucp.edu.pe/index.php/politai/article/download/13917/14540/,Reflexiones metodologicas para la ciencia politica del siglo XXI
"LI Rovelli, , Integración y conocimiento, 2023 , memoria.fahce.unlp.edu.ar",2,2023,https://www.memoria.fahce.unlp.edu.ar/art_revistas/pr.16493/pr.16493.pdf,Evaluación responsable y ciencia abierta: agenda de reformas
"R Magallón,Rosa,… , Janus. Net, Dossiê …, 2021 , repositorio.ual.pt",4,2021,https://repositorio.ual.pt/bitstream/11144/5137/6/VOL12%20N1%20DT1.pdf#page=154,Verificación informativa durante la COVID-19: análisis comparativo en los países del sur de Europa
"S eje Temático , tec.ac.cr",0,Null,https://www.tec.ac.cr/sites/default/files/media/doc/15marco_politico_estrategico_investigacion_conciliado_con_23_vf.pdf,Instancias
"LGR Zoya, P Roggero, ,PGR Zoya, , Argumentos, 2015 , redalyc.org",7,2015,https://www.redalyc.org/pdf/595/59541545016.pdf,Pensamiento complejo y ciencias de la complejidad. Propuesta para su articulación epistemológica y metodológica
"E Fisher , Archipielago. Revista cultural de nuestra América, 2021 , revistas.unam.mx",0,2021,https://revistas.unam.mx/index.php/archipielago/article/download/80870/71247,Democracia y distopías en tiempos de conspiraciones
"E Ortoll Espinet,, ,A Canals,… , … Científica, 2014, 37 …, 2014 , openaccess.uoc.edu",17,2014,https://openaccess.uoc.edu/bitstream/10609/92596/1/parameters.pdf,Principales parámetros para el estudio de la colaboración científica en big science
"IH García,, RN Bernal, ,JH García, , 2021 , books.google.com",2,2021,,Estética poshumana: Interacción entre sistemas naturales y artificiales
"J Gorraiz, , Anuario ThinkEPI, 2014 , thinkepi.scimagoepi.com",1,2014,https://thinkepi.scimagoepi.com/index.php/ThinkEPI/article/download/29576/15685,La comunicación científica en 2013. Reflexiones sobre la comunidad informétrica: más enredados que nunca
"J Gorraiz, , core.ac.uk",0,Null,https://core.ac.uk/download/pdf/296529294.pdf,D. COMUNICACIÓN CIENTÍFICA
"A Uribe,Tirado,, ,J Ochoa,Gutiérrez,, ,C Pallares,… , Palabra …, 2019 , SciELO Argentina",11,2019,http://www.scielo.org.ar/scielo.php?pid=S1853-99122019000200078&script=sci_arttext,Situación del acceso abierto en las universidades. Caso y modelo de análisis Universidad de Antioquia
"A Nieto , Drassana: revista del Museu Marítim, 2020 , raco.cat",3,2020,https://www.raco.cat/index.php/Drassana/article/download/385136/478239/,Intersecciones entre historia digital e historia social: un ejercicio de lectura distante sobre la conflictividad marítima en la historia argentina reciente
"G Vélez Cuartas, , Construcción de problemas de investigación: Diálogos … , researchgate.net",1,Null,https://www.researchgate.net/profile/Gabriel-Velez-Cuartas/publication/354590075_Analisis_de_redes_y_aplicaciones_cienciometricas_desde_estados_del_arte_hacia_mapas_de_conocimiento/links/619c0c7707be5f31b7ac442a/Analisis-de-redes-y-aplicaciones-cienciometricas-desde-estados-del-arte-hacia-mapas-de-conocimiento.pdf,Análisis de redes y aplicaciones cienciometrías: desde estados del arte hacia mapas de conocimiento
"FA Manzano, D Avalos , Ciencias administrativas, 2023 , SciELO Argentina",0,2023,http://www.scielo.org.ar/scielo.php?pid=S2314-37382023000200002&script=sci_arttext,"Análisis de calidad de los datos en las estadísticas públicas y privadas, ante la implementación del big data"
"CE Maldonado, , Praxis Pedagógica, 2020 , revistas.uniminuto.edu",1,2020,https://revistas.uniminuto.edu/index.php/praxis/article/download/2312/2103,El seminario más antiguo de complejidad en América Latina
