Autor,Citas,Fecha,Link,Titulo
"JE Tascón,L Aranzazu,T Velasco,K Trujillo,M ,Paz,",68,2005,https://www.redalyc.org/pdf/283/28320973007.pdf,"Primer molar permanente: historia de caries en un grupo de niños entre los 5 y 11 años frente a los conocimientos, actitudes y prácticas de sus madres"
"M Ramírez Hernández,E Cortés Palma,",32,2020,https://www.scielo.org.mx/scielo.php?pid=S1665-61802020000200132&script=sci_arttext,Estrategias de mediación tecnopedagógicas en los ambientes virtuales de aprendizaje
"WJ Melo Cabrera,AC Valderrama Ramos ",10,2013,http://repositorio.pedagogica.edu.co/bitstream/handle/20.500.12209/3052/TE-16444.pdf?sequence=1&isAllowed=y,"Territorio y memoria, proyecto Comunidad de Paz y Resistencia Civil Campesina: propuesta para la enseñanza desde la historia reciente."
N León,5,2016,http://www.scielo.org.co/scielo.php?pid=S0124-79132016000200011&script=sci_arttext,Territorio y ambiente: Prioridad en los acuerdos de paz
"AM Ramírez,",12,2002,,Diplomacia por la paz: La implementación de la política exterior en Colombia desde el proceso de paz
"EA Calisto,CQ Flores",15,2014,https://dialnet.unirioja.es/descarga/articulo/8229401.pdf,La mediación comunitaria y/o vecinal: un aporte a la democratización social y un nuevo espacio para el trabajo social de comunidad
"R Uprimny,LM Sánchez,NC Sánchez,",140,2014,,"Justicia para la paz: crímenes atroces, derecho a la justicia y paz negociada"
"AF González Acosta,",34,1998,https://repositoriodigital.ipn.mx/jspui/bitstream/123456789/15003/1/gonzalezac1.pdf,"Ecología de la comunidad de peces asociada al manglar del Estero El Conchalito, Ensenada de La Paz, Baja California Sur, México."
"FA Ribero Salazar,",11,2016,http://scielo.edu.uy/scielo.php?script=sci_arttext&pid=S0797-36912016000200006,"La construcción de mensajes en la sociedad del conocimiento, y la formación de ciudadanía para la paz en Colombia"
"A Fernández Herrería,",11,2018,https://www.researchgate.net/profile/Alfonso-Herreria/publication/300552149_Fernandez_Herreria_A_2014_Beyond_Cognitive_Learning_Facilitating_a_Reconnection_between_the_Community_and_Nature_University_of_Granada_Spain_En_Alicia_Jimenez_and_Douglas_F_Eds_2014_The_Heart_of_the_M/links/5e4e674da6fdccd965b40be0/Fernandez-Herreria-A-2014-Beyond-Cognitive-Learning-Facilitating-a-Reconnection-between-the-Community-and-Nature-University-of-Granada-Spain-En-Alicia-Jimenez-and-Douglas-F-Eds-2014-The-Heart-of-t,Educación para la paz y la sostenibilidad. Experiencias de re-conexión con la comunidad de la vida
